Started at: 2013-03-20 14:39:45
Started at: 2013-03-20 14:39:56
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|1|0.1|15|0.07529162248144221
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12407211028632026
learnRankMFX|0|0.01|15|0.22693531283138918
learnRankMFX|0|0.1|15|0.12937433722163308
learnRankMFX|0.001|0.001|15|0.11983032873807
learnRankMFX|0.001|0.01|15|0.23647932131495228
learnRankMFX|0.001|0.1|15|0.13043478260869565
learnRankMFX|0.01|0.001|15|0.12089077412513255
learnRankMFX|0.01|0.01|15|0.23647932131495228
learnRankMFX|0.01|0.1|15|0.176033934252386
learnRankMFX|0.1|0.001|15|0.10816542948038176
learnRankMFX|0.1|0.01|15|0.2417815482502651
learnRankMFX|0.1|0.1|15|0.19406150583244963
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.10922587486744433
learnRankMFX|1|0.1|15|0.09331919406150584
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.1283138918345705
learnRankMFX|0|0.01|15|0.22481442205726404
learnRankMFX|0|0.1|15|0.14103923647932132
learnRankMFX|0.001|0.001|15|0.12089077412513255
learnRankMFX|0.001|0.01|15|0.22269353128313893
learnRankMFX|0.001|0.1|15|0.1261930010604454
learnRankMFX|0.01|0.001|15|0.1283138918345705
learnRankMFX|0.01|0.01|15|0.24390243902439024
learnRankMFX|0.01|0.1|15|0.18663838812301167
learnRankMFX|0.1|0.001|15|0.11452810180275716
learnRankMFX|0.1|0.01|15|0.2449628844114528
learnRankMFX|0.1|0.1|15|0.19300106044538706
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.1071049840933192
learnRankMFX|1|0.1|15|0.08271474019088017
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12301166489925769
learnRankMFX|0|0.01|15|0.22905620360551432
learnRankMFX|0|0.1|15|0.16012725344644752
learnRankMFX|0.001|0.001|15|0.12301166489925769
learnRankMFX|0.001|0.01|15|0.21739130434782608
learnRankMFX|0.001|0.1|15|0.14422057264050903
learnRankMFX|0.01|0.001|15|0.12407211028632026
learnRankMFX|0.01|0.01|15|0.25026511134676566
learnRankMFX|0.01|0.1|15|0.176033934252386
learnRankMFX|0.1|0.001|15|0.10816542948038176
learnRankMFX|0.1|0.01|15|0.23860021208907742
learnRankMFX|0.1|0.1|15|0.18769883351007424
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.1102863202545069
learnRankMFX|1|0.1|15|0.06680805938494168
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.1261930010604454
learnRankMFX|0|0.01|15|0.22375397667020147
learnRankMFX|0|0.1|15|0.13997879109225875
learnRankMFX|0.001|0.001|15|0.1283138918345705
learnRankMFX|0.001|0.01|15|0.21314952279957583
learnRankMFX|0.001|0.1|15|0.12407211028632026
learnRankMFX|0.01|0.001|15|0.12195121951219512
learnRankMFX|0.01|0.01|15|0.24390243902439024
learnRankMFX|0.01|0.1|15|0.19406150583244963
learnRankMFX|0.1|0.001|15|0.11558854718981973
learnRankMFX|0.1|0.01|15|0.2523860021208908
learnRankMFX|0.1|0.1|15|0.17709437963944857
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.1102863202545069
learnRankMFX|1|0.1|15|0.0816542948038176
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12725344644750794
learnRankMFX|0|0.01|15|0.2163308589607635
learnRankMFX|0|0.1|15|0.13361611876988336
learnRankMFX|0.001|0.001|15|0.12301166489925769
learnRankMFX|0.001|0.01|15|0.22269353128313893
learnRankMFX|0.001|0.1|15|0.14103923647932132
learnRankMFX|0.01|0.001|15|0.12937433722163308
learnRankMFX|0.01|0.01|15|0.2523860021208908
learnRankMFX|0.01|0.1|15|0.19088016967126192
learnRankMFX|0.1|0.001|15|0.1102863202545069
learnRankMFX|0.1|0.01|15|0.2417815482502651
learnRankMFX|0.1|0.1|15|0.2067868504772004
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.10604453870625663
learnRankMFX|1|0.1|15|0.08695652173913043
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12195121951219512
learnRankMFX|0|0.01|15|0.2067868504772004
learnRankMFX|0|0.1|15|0.15058324496288442
learnRankMFX|0.001|0.001|15|0.12195121951219512
learnRankMFX|0.001|0.01|15|0.22693531283138918
learnRankMFX|0.001|0.1|15|0.13679745493107104
learnRankMFX|0.01|0.001|15|0.12301166489925769
learnRankMFX|0.01|0.01|15|0.25026511134676566
learnRankMFX|0.01|0.1|15|0.18769883351007424
learnRankMFX|0.1|0.001|15|0.1102863202545069
learnRankMFX|0.1|0.01|15|0.23966065747614
learnRankMFX|0.1|0.1|15|0.18027571580063625
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.10498409331919406
learnRankMFX|1|0.1|15|0.06786850477200425
